title,description,price,count
Wireless Bluetooth Headphones,Premium noise-cancelling over-ear headphones with 30-hour battery life,129.99,15
Smart Watch Series 5,Fitness tracking smartwatch with heart rate monitor and GPS,299.99,8
Portable Power Bank,20000mAh high-capacity portable charger with fast charging,45.50,25
USB-C Cable 6ft,Durable braided USB-C charging cable with fast data transfer,12.99,50
Laptop Stand Aluminum,Ergonomic adjustable laptop stand for better posture,39.99,12
Mechanical Gaming Keyboard,RGB backlit mechanical keyboard with blue switches,89.99,10
Wireless Mouse,Ergonomic wireless mouse with 6 programmable buttons,34.99,30
4K Webcam,Ultra HD webcam with auto-focus and built-in microphone,79.99,18
Phone Case Protective,Shockproof protective case with raised edges,19.99,40
Screen Protector Glass,Tempered glass screen protector 9H hardness,9.99,100
